date,uk_gdp,us_gdp,eurozone_gdp,uk_gdp_growth,us_gdp_growth,eurozone_gdp_growth,bdi_mean,bdi_end,bdi_max,bdi_min,bdi_volatility,bdi_mean_growth,bdi_end_growth
2000-01-01,480212.0,13878.147,2108727.5,,,,1467.796875,1660.0,1660.0,1276.0,129.48765703113443,,
2000-04-01,483672.0,14130.908,2127946.8,0.7205151058282677,1.8212878131352639,0.9114169564346186,1615.5593220338983,1616.0,1686.0,1559.0,39.29256803748922,10.0669547367648,-2.6506024096385583
2000-07-01,486617.0,14145.312,2142209.2,0.608883706313379,0.10193258635609048,0.6702423199677954,1656.2063492063492,1739.0,1740.0,1600.0,43.90354483820129,2.5159724324624877,7.6113861386138515
2000-10-01,489506.0,14229.765,2152418.5,0.593690725971352,0.5970387927816567,0.47657810451005034,1692.4444444444443,1599.0,1762.0,1581.0,60.53678641091371,2.1880181328528536,-8.05060379528465
2001-01-01,493575.0,14183.12,2176141.6,0.8312461951436756,-0.3277988076401672,1.1021601979354978,1516.703125,1438.0,1599.0,1438.0,46.082975435620526,-10.383875229779404,-10.068792995622267
2001-04-01,495602.0,14271.694,2177035.2,0.41067720204630564,0.624502930243831,0.04106350432344641,1421.360655737705,1386.0,1481.0,1355.0,37.80609862041016,-6.28616554490814,-3.616133518776077
2001-07-01,497938.0,14214.516,2181621.0,0.47134595905584664,-0.40063919531907466,0.21064427437829103,1052.0625,952.0,1380.0,898.0,141.34690804081438,-25.98201619321131,-31.313131313131315
2001-10-01,499278.0,14253.574,2180375.3,0.26910980885170854,0.2747754478590769,-0.05709974372267723,875.2096774193549,876.0,939.0,843.0,21.836303879259166,-16.810106108776345,-7.98319327731093
2002-01-01,500794.0,14372.785,2185133.0,0.30363845392746835,0.8363586564324121,0.21820555387874752,983.4677419354839,1082.0,1086.0,882.0,65.53655412031593,12.369386137884009,23.51598173515981
2002-04-01,503433.0,14460.848,2195199.4,0.5269631824662335,0.6127065840058066,0.4606767642976406,1037.0819672131147,1005.0,1104.0,978.0,37.03705130540103,5.451548941718909,-7.11645101663586
2002-07-01,506386.0,14519.633,2205146.7,0.5865725925793486,0.4065114300350947,0.453138790034302,1055.446153846154,1367.0,1367.0,962.0,105.56899858167857,1.7707555635537942,36.019900497512445
2002-10-01,509728.0,14537.58,2209187.6,0.6599708522747383,0.12360505255195608,0.1832485793348715,1481.8688524590164,1738.0,1739.0,1334.0,128.8288885058825,40.40212729554553,27.13972201901975
2003-01-01,514031.0,14614.141,2203087.5,0.8441757172452657,0.5266419858050542,-0.2761241281636795,1739.4285714285713,1939.0,1940.0,1530.0,111.91034924117233,17.380736395272756,11.56501726121979
2003-04-01,518802.0,14743.567,2204059.7,0.9281541385636194,0.885621672871495,0.04412897808190319,2143.4262295081967,2125.0,2337.0,1943.0,86.75510724954346,23.225883759505408,9.592573491490452
2003-07-01,524213.0,14988.782,2218420.1,1.042979788050169,1.663199956971062,0.6515431501242785,2312.5538461538463,2993.0,2993.0,2123.0,169.73039566188055,7.890526593231795,40.847058823529416
2003-10-01,528320.0,15162.76,2232523.8,0.7834601583707412,1.160721398176312,0.6357542469074939,4323.098360655737,4765.0,4765.0,3138.0,354.6240123904962,86.94044109916636,59.20481122619445
2004-01-01,529996.0,15248.68,2244103.6,0.3172319806178159,0.5666514539569345,0.518686519713718,5263.078125,4822.0,5681.0,4757.0,239.33686856969226,21.743196335733717,1.1962224554039835
2004-04-01,532543.0,15366.85,2258094.5,0.48056966467671103,0.7749523237421174,0.6234516089185904,3638.5737704918033,3005.0,4763.0,2622.0,705.573252965662,-30.86605054923437,-37.68145997511406
2004-07-01,534447.0,15512.619,2263123.3,0.3575298144938621,0.9485938887930923,0.2227010428482945,4027.246153846154,4105.0,4233.0,3115.0,247.91039401674658,10.681998163852423,36.60565723793676
2004-10-01,536886.0,15670.88,2273064.9,0.4563595641850382,1.0202081286209586,0.43928671495716554,5105.950819672131,4598.0,6208.0,4112.0,594.9783868967983,26.78516844061738,12.00974421437271
2005-01-01,541028.0,15844.727,2279370.1,0.7714859392869311,1.1093633541958248,0.2773875924088287,4572.44262295082,4637.0,4880.0,4175.0,187.23884253275384,-10.448753142427824,0.8481948673336293
2005-04-01,545530.0,15922.782,2293072.3,0.8321195945496296,0.4926244548107306,0.6011397622527337,3634.031746031746,2521.0,4835.0,2510.0,787.7409916613933,-20.52318540223631,-45.63295233987492
2005-07-01,550552.0,16047.587,2310122.4,0.9205726541161807,0.7838140345072908,0.7435482954462502,2413.0,2907.0,3073.0,1747.0,387.33286718273735,-33.59991963100146,15.311384371281234
2005-10-01,556311.0,16136.734,2326176.0,1.0460410642409768,0.5555165396517348,0.6949242170025238,2912.1833333333334,2407.0,3370.0,2407.0,251.59784238698342,20.687249620113278,-17.199862401100795
2006-01-01,558314.0,16353.835,2348122.3,0.36005040346136497,1.3453837684874737,0.9434496787861235,2439.75,2496.0,2798.0,2033.0,226.15383161811658,-16.222650817542394,3.6975488159534775
2006-04-01,559795.0,16396.151,2373899.0,0.26526291656665535,0.25875276349554,1.0977579830488526,2548.5737704918033,2964.0,2964.0,2364.0,155.59150137634893,4.460447607000861,18.75
2006-07-01,560675.0,16420.738,2386725.4,0.1572004037192265,0.1499559256315619,0.5403094234421868,3593.375,3944.0,4279.0,2849.0,433.3923219923311,40.99552626670011,33.06342780026989
2006-10-01,562669.0,16561.866,2414645.4,0.3556427520399419,0.8594498006118778,1.169803614609366,4169.383333333333,4397.0,4407.0,3931.0,138.40974439913103,16.029730638559393,11.48580121703855
2007-01-01,568845.0,16611.69,2431456.7,1.0976257799878875,0.30083566670564554,0.6962223107376486,4669.078125,5388.0,5388.0,4219.0,365.4486394629441,11.98486087071229,22.538094155105746
2007-04-01,574194.0,16713.314,2447788.6,0.9403264509664222,0.6117619579946387,0.6716919943505539,5983.311475409836,6278.0,6688.0,5254.0,415.7482227255499,28.147598203014358,16.518188567186343
2007-07-01,579605.0,16809.587,2457243.1,0.9423644273538256,0.5760257959612325,0.38624659008543727,7411.875,9474.0,9474.0,6201.0,893.3500264964849,23.875800724419282,50.90793246256771
2007-10-01,584504.0,16915.191,2469779.7,0.8452308037370182,0.6282367318126258,0.5101896511582549,10318.04918032787,9143.0,11039.0,9143.0,531.7801370939402,39.209703082254755,-3.4937724298078954
2008-01-01,586690.0,16843.003,2485405.8,0.3739923080081642,-0.42676432089947536,0.6326920575142614,7343.290322580645,8081.0,8891.0,5615.0,935.705088525064,-28.8306326686136,-11.615443508695177
2008-04-01,583541.0,16943.291,2473140.4,-0.5367400160220859,0.5954282618129358,-0.4934968768480319,9751.285714285714,9589.0,11793.0,7655.0,1373.838928303335,32.791777063484396,18.661056799900997
2008-07-01,573961.0,16854.295,2459785.7,-1.641701268634077,-0.5252580505168858,-0.5399895614498718,7123.446153846154,3217.0,9379.0,3217.0,1768.6442108891044,-26.948646952162967,-66.45114193346544
2008-10-01,561816.0,16485.35,2417390.1,-2.1159974283966987,-2.189026595298116,-1.723548518881135,1169.27868852459,774.0,3025.0,663.0,701.9306502104874,-83.5854913019415,-75.94031706558906
2009-01-01,550451.0,16298.262,2343542.4,-2.022904296068462,-1.1348742974823023,-3.0548524212124506,1561.6507936507937,1615.0,2298.0,772.0,521.6129500275631,33.55676529273816,108.656330749354
2009-04-01,548859.0,16269.145,2343585.8,-0.28921738719704937,-0.1786509506351064,0.001851897366988986,2713.0163934426228,3757.0,4291.0,1463.0,959.6339317990531,73.7274686807664,132.63157894736844
2009-07-01,549540.0,16326.281,2352136.0,0.12407558225335791,0.3511923951750484,0.36483409312346726,2811.492307692308,2220.0,3742.0,2163.0,473.9887961188049,3.6297574348500783,-40.91030077189247
2009-10-01,551372.0,16502.754,2362449.6,0.33336972740838355,1.0809136508185713,0.4384780471877514,3400.9836065573772,3005.0,4661.0,2284.0,636.8936722301265,20.967202978013045,35.36036036036037
2010-01-01,556002.0,16582.71,2371913.1,0.83972345349419,0.48450095056860043,0.40057997427753733,3026.6825396825398,2998.0,3574.0,2566.0,281.9759670265229,-11.00567101097324,-0.23294509151414733
2010-04-01,562353.0,16743.162,2394280.5,1.1422620781939674,0.9675861183124024,0.9430109391444397,3301.8064516129034,2406.0,4209.0,2406.0,522.4511221537011,9.089949418984023,-19.746497665110073
2010-07-01,565659.0,16872.266,2404818.9,0.58788696779426,0.7710849360473171,0.44014892991861565,2352.630769230769,2446.0,2995.0,1700.0,416.77289113912076,-28.747162993714248,1.6625103906899419
2010-10-01,565945.0,16960.864,2419199.6,0.05056049669500684,0.5251102608268665,0.5979951338539458,2363.7049180327867,1773.0,2784.0,1773.0,299.68885777654447,0.4707134220487408,-27.51430907604252
2011-01-01,566873.0,16920.632,2442369.6,0.16397353099681933,-0.23720489710901127,0.9577547879885628,1364.920634920635,1530.0,1693.0,1043.0,176.45453600576474,-42.25503257586816,-13.705583756345174
2011-04-01,566601.0,17035.114,2442060.6,-0.047982528714540784,0.6765822931436682,-0.01265164780956951,1379.0833333333333,1413.0,1520.0,1250.0,75.23529005763514,1.037620653564364,-7.647058823529407
2011-07-01,567586.0,17031.313,2442567.8,0.1738436748258465,-0.022312735917140447,0.020769345363480518,1533.5076923076922,1899.0,1928.0,1253.0,241.50117255647808,11.197608965449923,34.39490445859872
2011-10-01,568056.0,17222.583,2435104.1,0.08280683455899052,1.1230490567579965,-0.3055677717523242,1927.8166666666666,1738.0,2173.0,1738.0,127.61707707662731,25.712878803079263,-8.478146392838337
2012-01-01,573416.0,17367.01,2429274.6,0.9435689439069472,0.838590819971663,-0.23939428297952148,866.859375,934.0,1624.0,647.0,215.53395248224587,-55.03413836032126,-46.260069044879174
2012-04-01,573112.0,17444.525,2420658.0,-0.053015611702500465,0.4463347461653111,-0.35469847665636767,1026.0,1004.0,1165.0,872.0,98.36157786452996,18.35829773427784,7.494646680942174
2012-07-01,579051.0,17469.65,2417423.5,1.036272142268868,0.14402799732293747,-0.13362069321647407,843.6615384615385,766.0,1162.0,661.0,167.18433659839704,-17.771779877043038,-23.705179282868528
2012-10-01,578215.0,17489.852,2406956.3,-0.14437415702589496,0.11564055376036553,-0.4329899167440088,953.0983606557377,699.0,1109.0,699.0,118.71361967890526,12.971650028489279,-8.746736292428203
2013-01-01,579749.0,17662.4,2398980.1,0.2652992399021059,0.9865606638638447,-0.33138117214673857,796.3548387096774,910.0,935.0,698.0,68.34341844724717,-16.44568162285157,30.1859799713877
2013-04-01,583605.0,17709.671,2414733.0,0.6651154206389398,0.26763633481292626,0.6566498821728439,887.7903225806451,1171.0,1171.0,801.0,83.51364610134172,11.48175152914488,28.68131868131869
2013-07-01,588076.0,17860.45,2421947.3,0.7661003589756854,0.851393569084391,0.29876180927663754,1291.8923076923077,2003.0,2127.0,996.0,326.4474557201415,45.51772809789269,71.05038428693425
2013-10-01,591954.0,18016.147,2427006.7,0.6594385759663757,0.8717417534272576,0.20889802185211082,1853.704918032787,2277.0,2337.0,1483.0,287.5561014400665,43.487572996238264,13.679480778831742
2014-01-01,596696.0,17953.974,2438543.5,0.8010757592650686,-0.34509598528477126,0.4753509745152318,1370.7460317460318,1362.0,2113.0,1084.0,247.26027610035706,-26.05370906601937,-40.18445322793149
2014-04-01,602310.0,18185.911,2444250.3,0.9408476007883415,1.2918421292132942,0.23402494152759967,982.1935483870968,850.0,1316.0,824.0,96.99093057308013,-28.34605932537363,-37.59177679882526
2014-07-01,607213.0,18406.941,2456241.8,0.8140326409988186,1.2153914093167906,0.4906003284524507,949.8461538461538,1063.0,1197.0,723.0,167.3799225162279,-3.2933829176603813,25.058823529411754
2014-10-01,611220.0,18500.031,2465312.8,0.6599002327025261,0.5057331362120498,0.36930403187502847,1120.295081967213,782.0,1484.0,782.0,214.565013011775,17.944898490231374,-26.434619002822203
2015-01-01,613076.0,18666.621,2483950.5,0.3036549851117343,0.9004849775657187,0.7559973728283209,617.4426229508197,602.0,771.0,509.0,85.53118818890242,-44.88571512189411,-23.01790281329923
2015-04-01,615875.0,18782.243,2494445.5,0.4565502482563266,0.6194050867588619,0.42251244539694977,631.9508196721312,800.0,829.0,573.0,76.2300085770051,2.349723874256582,32.89036544850499
2015-07-01,618263.0,18857.418,2505031.9,0.3877410188755759,0.4002450612528241,0.42439892954164726,973.7692307692307,900.0,1222.0,794.0,122.83967819260002,54.08940070280182,12.5
2015-10-01,621968.0,18892.206,2517548.3,0.5992595384165078,0.18447912646364362,0.4996503238142269,639.639344262295,478.0,889.0,471.0,129.75014872013122,-34.31304624844114,-46.88888888888889
2016-01-01,625099.0,19001.69,2529296.8,0.5034021042883197,0.5795194060450148,0.4666643337090992,358.4032258064516,429.0,473.0,290.0,49.09958421159444,-43.96792051311306,-10.251046025104603
2016-04-01,629697.0,19062.709,2534262.7,0.7355634867437066,0.3211240684381167,0.1963352027330334,611.5555555555555,660.0,715.0,450.0,53.74365012087857,70.63338483616599,53.846153846153854
2016-07-01,632477.0,19197.938,2546525.2,0.44148217317216965,0.7093902550786346,0.48386854290993764,736.4769230769231,875.0,941.0,631.0,83.79814058429108,20.426822450805005,32.57575757575757
2016-10-01,636392.0,19304.352,2565927.9,0.6189948409191182,0.5542991127484687,0.7619284505804069,994.3333333333334,961.0,1257.0,798.0,146.02340962390957,35.01215071059028,9.828571428571431
2017-01-01,642463.0,19398.343,2586571.1,0.9539717658298752,0.48689021004175714,0.804512083133746,945.171875,1297.0,1338.0,685.0,184.7248107438875,-4.944162755615156,34.96357960457856
2017-04-01,647944.0,19506.949,2603763.8,0.8531230592267569,0.5598725623111145,0.6646907946972647,1005.8032786885246,901.0,1296.0,818.0,155.66479153104692,6.414854831405625,-30.5319969159599
2017-07-01,652329.0,19660.766,2622795.0,0.6767560159519848,0.7885241305547019,0.7309111525400258,1137.1875,1356.0,1503.0,820.0,204.5816385343435,13.062616129347715,50.49944506104329
2017-10-01,657225.0,19882.352,2644200.1,0.7505415212262445,1.1270466267692791,0.8161179200051993,1508.95,1366.0,1743.0,1308.0,109.5977893195333,32.691398735916465,0.7374631268436627
2018-01-01,657741.0,20044.077,2645329.6,0.07851192513979033,0.8134098018182323,0.04271613180863998,1175.4761904761904,1055.0,1395.0,1055.0,78.91642315334602,-22.09972560547464,-22.76720351390923
2018-04-01,659172.0,20150.476,2658731.0,0.21756284008447313,0.5308251410129694,0.5066060577101572,1259.9516129032259,1385.0,1476.0,948.0,165.82139586080183,7.186485197357695,31.27962085308056
2018-07-01,661262.0,20276.154,2660767.9,0.31706443841668097,0.6236974253114314,0.07661173695270307,1607.359375,1540.0,1774.0,1356.0,130.7106785921328,27.573103485796935,11.191335740072205
2018-10-01,662120.0,20304.874,2675156.4,0.12975189864228298,0.1416442191157108,0.5407649423311289,1362.5245901639344,1271.0,1584.0,1003.0,184.93247475383873,-15.232112285783362,-17.467532467532465
2019-01-01,665456.0,20431.641,2694283.9,0.5038361626291232,0.6243180824466066,0.7150049245718826,797.7301587301587,689.0,1282.0,595.0,224.94968658599132,-41.45205418757407,-45.790715971675844
2019-04-01,666875.0,20602.275,2704009.2,0.21323723882571421,0.8351458407085399,0.3609604763625818,995.1147540983607,1354.0,1354.0,672.0,183.60383968031596,24.743278564571547,96.51669085631349
2019-07-01,670547.0,20843.322,2709134.2,0.5506279287722515,1.170001856591063,0.18953337880656118,2030.3384615384616,1823.0,2518.0,1381.0,265.7140895847379,104.03058573662508,34.6381093057607
2019-10-01,670587.0,20985.448,2706428.2,0.005965279093045339,0.6818778695641736,-0.09988430990239827,1561.8360655737704,1090.0,1929.0,1090.0,244.42314268005742,-23.075088456418737,-40.208447613823374
2020-01-01,652180.0,20709.212,2618244.0,-2.7449085651824467,-1.3163216720462723,-3.258324015394176,909.0,844.0,976.0,844.0,66.02272336097626,-41.79926946007221,-22.56880733944954
